Player,Team,Position,Rk,Status,Opponent,Score,%D,ADP,GP,FG%,3PTM,FT%,PTS,REB,AST,ST,BLK,TO
"Harden, James",HOU,"PG,SG,G,Flx",1,ynwa,,100,100%,2.36,76,0.443,3.5,0.857,28.8,5.3,8.7,1.8,0.6,4.2
"James, LeBron",LAL,"SF,PF,F,Flx",2,turgi,,98.64,100%,5.04,74,0.545,1.6,0.72,26,8.8,6.2,1.4,0.8,3.4
"Towns, Karl-Anthony",MIN,"C,Flx",3,MAMI,,97.63,100%,4.85,78,0.548,1.6,0.868,23.7,13,2.6,0.8,1.4,2.1
"George, Paul",OKC,"SG,G,SF,F,Flx",4,MCB,@GS Tue 10:30PM,97.4,100%,14.04,80,0.445,3.1,0.861,22.8,5.7,3.1,1.9,0.5,2.5
"Jokic, Nikola",DEN,"PF,F,C,Flx",5,Gabi_p,,97.11,100%,7.84,78,0.494,1.4,0.839,17.7,10.4,5.8,1.1,0.8,2.7
"Leonard, Kawhi",TOR,"SG,G,SF,F,Flx",6,GREEN,,96.58,100%,11.24,66,0.485,2.2,0.85,23.3,5.9,3.4,1.8,0.7,2
"Durant, Kevin",GS,"SF,PF,F,Flx",7,Giladsh,OKC Tue 10:30PM,95.74,100%,6.47,72,0.51,2.2,0.888,23.4,6.3,4.7,0.7,1.5,2.7
"Oladipo, Victor",IND,"PG,SG,G,Flx",8,GFv,,95.1,100%,13.12,76,0.462,2,0.794,21,5.1,4,1.9,0.5,2.8
"Antetokounmpo, Giannis",MIL,"SF,PF,F,Flx",9,TAP,,95.03,100%,3.58,79,0.542,0.6,0.757,23.6,9.6,4.4,1.3,1.3,2.6
"Davis, Anthony",NO,"PF,F,C,Flx",10,TheMacca,,94.29,100%,1.49,71,0.538,0.7,0.814,28.1,10.8,2.1,1.5,2.5,2.2
"Westbrook, Russell",OKC,"PG,G,Flx",11,Pumba,@GS Tue 10:30PM,94.12,100%,7.63,81,0.445,1.3,0.808,24.4,8.9,8.9,1.7,0.2,4.2
"Lillard, Damian",POR,"PG,G,Flx",12,GFv,,93.07,100%,12.53,78,0.433,3.1,0.904,25.6,4.2,6.3,1,0.3,2.7
"Walker, Kemba",CHA,"PG,G,Flx",13,TAP,,93,100%,27.2,80,0.427,3,0.85,21.5,3.7,5.2,1.2,0.3,2.2
"Gasol, Marc",MEM,"C,Flx",14,argold,,92.81,100%,36.84,73,0.45,1.7,0.833,17.7,6.7,3.8,0.7,1.3,2.1
"Butler, Jimmy",MIN,"SG,G,SF,F,Flx",15,argold,,92.67,100%,19.4,71,0.46,1.3,0.853,22.1,5.2,4.8,1.9,0.4,1.9
"Harris, Tobias",LAC,"SF,PF,F,Flx",16,argold,,92.61,100%,39.62,78,0.46,1.9,0.826,18,6.6,2.4,0.9,0.5,1.5
"Wall, John",WAS,"PG,G,Flx",17,turgi,,91.88,100%,18.63,72,0.433,1.4,0.795,20.9,3.9,10.3,1.8,0.7,4.1
"Mitchell, Donovan",UTA,"PG,SG,G,Flx",18,TAP,,91.75,100%,21.85,73,0.43,2.9,0.813,23.3,4.1,4.3,1.7,0.3,2.9
