"Player","Team","Position","Rk","Status","Opponent","Score","% Owned","+/-","GP","MIN","FGM","FGA","FG%","FTM","FTA","FT%","3PTM","REB","AST","ST","BLK","TO","PTS"
"Harden, James","HOU","PG,SG,G,Flx","1","ynwa","","100","100%","+99.9%","76","37.1","8.5","19.1",".443","8.4","9.8",".857","3.5","5.3","8.7","1.8","0.6","4.2","28.8"
"James, LeBron","LAL","SF,PF,F,Flx","2","turgi","SA Mon 10:30PM","98.64","100%","+99.8%","74","35.3","9.7","17.8",".545","4.9","6.9",".720","1.6","8.8","6.2","1.4","0.8","3.4","26.0"
"Towns, Karl-Anthony","MIN","C,Flx","3","ZAYN","IND Mon 8:00PM","97.63","100%","+100%","78","37.5","8.6","15.6",".548","4.9","5.7",".868","1.6","13.0","2.6","0.8","1.4","2.1","23.7"
"George, Paul","OKC","SG,G,SF,F,Flx","4","MCB","","97.4","100%","+99.7%","80","35.7","7.5","17.0",".445","4.6","5.4",".861","3.1","5.7","3.1","1.9","0.5","2.5","22.8"
"Jokic, Nikola","DEN","PF,F,C,Flx","5","Gabi_p","","97.11","100%","+100%","78","32.3","6.4","13.0",".494","3.5","4.1",".839","1.4","10.4","5.8","1.1","0.8","2.7","17.7"
"Leonard, Kawhi","TOR","SG,G,SF,F,Flx","6","BNEI","CHA Mon 7:30PM","96.58","100%","+99.7%","66","31.4","7.9","16.3",".485","5.3","6.3",".850","2.2","5.9","3.4","1.8","0.7","2.0","23.3"
"Durant, Kevin","GS","SF,PF,F,Flx","7","Giladsh","PHO Mon 10:30PM","95.74","100%","+99.9%","72","33.6","8.2","16.2",".510","4.8","5.4",".888","2.2","6.3","4.7","0.7","1.5","2.7","23.4"
"Oladipo, Victor","IND","PG,SG,G,Flx","8","GFv","@MIN Mon 8:00PM","95.1","100%","+99.9%","76","33.7","7.8","16.8",".462","3.5","4.4",".794","2.0","5.1","4.0","1.9","0.5","2.8","21.0"
"Antetokounmpo, Giannis","MIL","SF,PF,F,Flx","9","TAP","NY Mon 8:00PM","95.03","100%","+99.9%","79","33.5","8.6","15.9",".542","5.7","7.5",".757","0.6","9.6","4.4","1.3","1.3","2.6","23.6"
"Davis, Anthony","NO","PF,F,C,Flx","10","TheMacca","","94.29","100%","+99.9%","71","35.4","10.4","19.3",".538","6.6","8.1",".814","0.7","10.8","2.1","1.5","2.5","2.2","28.1"
"Westbrook, Russell","OKC","PG,G,Flx","11","Pumba","","94.12","100%","+99.8%","81","34.3","8.7","19.5",".445","5.7","7.1",".808","1.3","8.9","8.9","1.7","0.2","4.2","24.4"
"Lillard, Damian","POR","PG,G,Flx","12","GFv","WAS Mon 10:00PM","93.07","100%","+99.9%","78","35.7","8.0","18.5",".433","6.5","7.1",".904","3.1","4.2","6.3","1.0","0.3","2.7","25.6"
"Walker, Kemba","CHA","PG,G,Flx","13","TAP","@TOR Mon 7:30PM","93","100%","+99.9%","80","32.6","7.2","16.7",".427","4.2","4.9",".850","3.0","3.7","5.2","1.2","0.3","2.2","21.5"
"Gasol, Marc","MEM","C,Flx","14","argold","@UTA Mon 9:00PM","92.81","99%","+99.1%","73","31.9","6.2","13.8",".450","3.5","4.2",".833","1.7","6.7","3.8","0.7","1.3","2.1","17.7"
"Butler, Jimmy","MIN","SG,G,SF,F,Flx","15","argold","IND Mon 8:00PM","92.67","100%","+99.9%","71","36.1","7.3","15.8",".460","6.3","7.4",".853","1.3","5.2","4.8","1.9","0.4","1.9","22.1"
"Harris, Tobias","LAC","SF,PF,F,Flx","16","argold","","92.61","100%","+100%","78","32.7","6.9","15.0",".460","2.3","2.8",".826","1.9","6.6","2.4","0.9","0.5","1.5","18.0"
"Wall, John","WAS","PG,G,Flx","17","turgi","@POR Mon 10:00PM","91.88","100%","+99.8%","72","36.5","7.4","17.1",".433","4.7","5.9",".795","1.4","3.9","10.3","1.8","0.7","4.1","20.9"
"Mitchell, Donovan","UTA","PG,SG,G,Flx","18","TAP","MEM Mon 9:00PM","91.75","100%","+100%","73","36.4","8.4","19.6",".430","3.5","4.3",".813","2.9","4.1","4.3","1.7","0.3","2.9","23.3"
"Gordon, Aaron","ORL","SF,PF,F,Flx","19","Giladsh","@BOS Mon 7:30PM","91.14","99%","+99.4%","70","31.5","6.7","14.8",".450","2.9","4.1",".701","2.0","7.4","2.2","0.9","0.7","1.7","18.2"
"Hayward, Gordon","BOS","SG,G,SF,F,Flx","20","TheMacca","ORL Mon 7:30PM","90.82","96%","+96.2%","76","31.6","6.3","13.7",".458","4.2","5.0",".824","2.0","5.2","3.3","1.1","0.4","2.2","18.7"
"Curry, Stephen","GS","PG,SG,G,Flx","21","argold","PHO Mon 10:30PM","90.82","100%","+99.6%","74","31.9","7.9","16.3",".482","4.5","5.0",".904","4.2","4.4","5.8","1.6","0.2","2.9","24.5"
"McCollum, CJ","POR","PG,SG,G,Flx","22","Giladsh","WAS Mon 10:00PM","90.73","99%","+99%","80","34.9","7.9","17.5",".447","2.6","3.0",".858","2.4","3.7","3.1","0.9","0.4","1.8","20.7"
"Porter Jr., Otto","WAS","SF,PF,F,Flx","23","TheMacca","@POR Mon 10:00PM","90.71","98%","+98.4%","78","31.0","5.2","10.4",".500","1.3","1.5",".830","1.8","5.8","1.6","1.5","0.5","0.9","13.6"
