"Player","Team","Position","Rk","Status","Score","% Owned","+/-","Mon 10/22","Tue 10/23","Wed 10/24","Thu 10/25","Fri 10/26","Sat 10/27","Sun 10/28"
"Harden, James","HOU","PG,SG,G,Flx","1","ynwa","100","100%","+99.9%","","","UTA Wed 8:00PM","","LAC Fri 8:00PM","",""
"Jokic, Nikola","DEN","PF,F,C,Flx","2","Gabi_p","99.83","100%","+100%","","SAC Tue 9:00PM","","@LAL Thu 10:30PM","","",""
"Embiid, Joel","PHI","PF,F,C,Flx","3","MCB","91","100%","+99.9%","","@DET Tue 7:00PM","@MIL Wed 9:30PM","","","CHA Sat 7:30PM",""
"Davis, Anthony","NO","PF,F,C,Flx","4","TheMacca","89.06","100%","+99.9%","","LAC Tue 8:00PM","","","BKN Fri 8:00PM","UTA Sat 7:00PM",""
"Durant, Kevin","GS","SF,PF,F,Flx","5","Giladsh","88.86","100%","+99.9%","PHO Mon 10:30PM","","WAS Wed 10:30PM","","@NY Fri 7:30PM","","@BKN Sun 5:00PM"
"Curry, Stephen","GS","PG,SG,G,Flx","6","argold","88.4","100%","+99.6%","PHO Mon 10:30PM","","WAS Wed 10:30PM","","@NY Fri 7:30PM","","@BKN Sun 5:00PM"
"Hardaway Jr., Tim","NY","SG,G,SF,F,Flx","7","Gabi_p","87.69","98%","+98.4%","@MIL Mon 8:00PM","","@MIA Wed 7:30PM","","GS Fri 7:30PM","",""
"George, Paul","OKC","SG,G,SF,F,Flx","8","MCB","86.83","100%","+99.7%","","","","BOS Thu 8:00PM","","","PHO Sun 7:00PM"
"Lowry, Kyle","TOR","PG,G,Flx","9","Gabi_p","86.26","99%","+98.6%","CHA Mon 7:30PM","","MIN Wed 7:30PM","","DAL Fri 7:30PM","",""
"Walker, Kemba","CHA","PG,G,Flx","10","TAP","86.02","100%","+99.9%","@TOR Mon 7:30PM","","@CHI Wed 8:00PM","","CHI Fri 7:00PM","@PHI Sat 7:30PM",""
"Vucevic, Nikola","ORL","PF,F,C,Flx","11","ynwa","84.16","100%","+99.9%","@BOS Mon 7:30PM","","","POR Thu 7:00PM","","@MIL Sat 8:30PM",""
"Butler, Jimmy","MIN","SG,G,SF,F,Flx","12","argold","82.65","100%","+99.9%","IND Mon 8:00PM","","@TOR Wed 7:30PM","","MIL Fri 8:00PM","",""
"Kanter, Enes","NY","C,Flx","13","turgi","82.61","99%","+99.1%","@MIL Mon 8:00PM","","@MIA Wed 7:30PM","","GS Fri 7:30PM","",""
"Young, Trae","ATL","PG,G,Flx","14","ynwa","81.87","99%","+98.6%","","","DAL Wed 7:00PM","","","CHI Sat 7:30PM",""
"Love, Kevin","CLE","PF,F,C,Flx","15","ynwa","81.67","100%","+99.8%","","","BKN Wed 7:00PM","@DET Thu 7:00PM","","IND Sat 7:30PM",""
"Griffin, Blake","DET","PF,F,C,Flx","16","turgi","80.26","99%","+98.6%","","PHI Tue 7:00PM","","CLE Thu 7:00PM","","BOS Sat 7:00PM",""
"Towns, Karl-Anthony","MIN","C,Flx","17","ZAYN","79.49","100%","+100%","IND Mon 8:00PM","","@TOR Wed 7:30PM","","MIL Fri 8:00PM","",""
"Harris, Gary","DEN","SG,G,SF,F,Flx","18","BNEI","79.48","96%","+95.8%","","SAC Tue 9:00PM","","@LAL Thu 10:30PM","","",""
"Harris, Tobias","LAC","SF,PF,F,Flx","19","argold","79.11","100%","+100%","","@NO Tue 8:00PM","","","@HOU Fri 8:00PM","","WAS Sun 9:30PM"
"Simmons, Ben","PHI","PG,G,SF,F,Flx","20","Gabi_p","78.25","99%","+99%","","@DET Tue 7:00PM","@MIL Wed 9:30PM","","","CHA Sat 7:30PM",""
"Adams, Steven","OKC","C,Flx","21","BNEI","78.05","98%","+98.2%","","","","BOS Thu 8:00PM","","","PHO Sun 7:00PM"
"Gordon, Aaron","ORL","SF,PF,F,Flx","22","Giladsh","77.6","99%","+99.4%","@BOS Mon 7:30PM","","","POR Thu 7:00PM","","@MIL Sat 8:30PM",""
"Tatum, Jayson","BOS","SF,PF,F,Flx","23","TAP","77.4","100%","+100%","ORL Mon 7:30PM","","","@OKC Thu 8:00PM","","@DET Sat 7:00PM",""
"Fox, De'Aaron","SAC","PG,G,Flx","24","Giladsh","77.16","98%","+98.2%","","@DEN Tue 9:00PM","MEM Wed 10:00PM","","WAS Fri 10:00PM","",""
"Gallinari, Danilo","LAC","SF,PF,F,Flx","25","Gabi_p","76.58","94%","+93.8%","","@NO Tue 8:00PM","","","@HOU Fri 8:00PM","","WAS Sun 9:30PM"
"LeVert, Caris","BKN","PG,G,SF,F,Flx","26","Giladsh","76.2","95%","+95.1%","","","@CLE Wed 7:00PM","","@NO Fri 8:00PM","","GS Sun 5:00PM"
"Prince, Taurean","ATL","SF,F,Flx","27","Gabi_p","75.97","99%","+99.1%","","","DAL Wed 7:00PM","","","CHI Sat 7:30PM",""
"Wiggins, Andrew","MIN","SG,G,SF,F,Flx","28","BNEI","75.11","98%","+97.6%","IND Mon 8:00PM","","@TOR Wed 7:30PM","","MIL Fri 8:00PM","",""
"Mirotic, Nikola","NO","SF,PF,F,Flx","29","argold","74.83","99%","+99.2%","","LAC Tue 8:00PM","","","BKN Fri 8:00PM","UTA Sat 7:00PM",""
"Wall, John","WAS","PG,G,Flx","30","turgi","74.6","100%","+99.8%","@POR Mon 10:00PM","","@GS Wed 10:30PM","","@SAC Fri 10:00PM","","@LAC Sun 9:30PM"
"Dragic, Goran","MIA","PG,SG,G,Flx","31","MCB","74.43","98%","+98.2%","","","NY Wed 7:30PM","","","POR Sat 8:00PM",""
"Ibaka, Serge","TOR","PF,F,C,Flx","32","TheMacca","74.18","95%","+94.8%","CHA Mon 7:30PM","","MIN Wed 7:30PM","","DAL Fri 7:30PM","",""
"Teague, Jeff","MIN","PG,G,Flx","33","ZAYN","74.14","98%","+98.4%","IND Mon 8:00PM","","@TOR Wed 7:30PM","","MIL Fri 8:00PM","",""
"Oladipo, Victor","IND","PG,SG,G,Flx","34","GFv","74.07","100%","+99.9%","@MIN Mon 8:00PM","","@SA Wed 8:30PM","","","@CLE Sat 7:30PM",""
"McGruder, Rodney","MIA","SG,G,Flx","35","Giladsh","73.5","50%","+50.1%","","","NY Wed 7:30PM","","","POR Sat 8:00PM",""
"Lillard, Damian","POR","PG,G,Flx","36","GFv","73.22","100%","+99.9%","WAS Mon 10:00PM","","","@ORL Thu 7:00PM","","@MIA Sat 8:00PM",""
"Richardson, Josh","MIA","PG,SG,G,Flx","37","ZAYN","72.43","99%","+98.6%","","","NY Wed 7:30PM","","","POR Sat 8:00PM",""
"Paul, Chris","HOU","PG,G,Flx","38","Giladsh","71.84","99%","+98.8%","","","UTA Wed 8:00PM","","LAC Fri 8:00PM","",""
"Cauley-Stein, Willie","SAC","PF,F,C,Flx","39","TheMacca","71.52","97%","+96.6%","","@DEN Tue 9:00PM","MEM Wed 10:00PM","","WAS Fri 10:00PM","",""
"Osman, Cedi","CLE","SF,PF,F,Flx","40","Gabi_p","70.19","93%","+92.7%","","","BKN Wed 7:00PM","@DET Thu 7:00PM","","IND Sat 7:30PM",""
"Jordan, DeAndre","DAL","C,Flx","41","TAP","69.9","99%","+99.2%","CHI Mon 8:30PM","","@ATL Wed 7:00PM","","@TOR Fri 7:30PM","","UTA Sun 7:00PM"
"Schroder, Dennis","OKC","PG,G,Flx","42","BNEI","69.73","95%","+95.3%","","","","BOS Thu 8:00PM","","","PHO Sun 7:00PM"
"Booker, Devin","PHO","PG,SG,G,Flx","43","TheMacca","69.47","100%","+100%","@GS Mon 10:30PM","","LAL Wed 10:00PM","","","@MEM Sat 8:00PM","@OKC Sun 7:00PM"
"Aldridge, LaMarcus","SA","PF,F,C,Flx","44","ynwa","69.06","100%","+99.7%","@LAL Mon 10:30PM","","IND Wed 8:30PM","","","LAL Sat 8:30PM",""
"James, LeBron","LAL","SF,PF,F,Flx","45","turgi","68.93","100%","+99.8%","SA Mon 10:30PM","","@PHO Wed 10:00PM","DEN Thu 10:30PM","","@SA Sat 8:30PM",""
"Redick, JJ","PHI","SG,G,Flx","46","BNEI","68.91","93%","+92.8%","","@DET Tue 7:00PM","@MIL Wed 9:30PM","","","CHA Sat 7:30PM",""
"Leonard, Kawhi","TOR","SG,G,SF,F,Flx","47","BNEI","68.77","100%","+99.7%","CHA Mon 7:30PM","","MIN Wed 7:30PM","","DAL Fri 7:30PM","",""
"Antetokounmpo, Giannis","MIL","SF,PF,F,Flx","48","TAP","68.51","100%","+99.9%","NY Mon 8:00PM","","PHI Wed 9:30PM","","@MIN Fri 8:00PM","ORL Sat 8:30PM",""
"Covington, Robert","PHI","SF,PF,F,Flx","49","MCB","68.29","98%","+98.3%","","@DET Tue 7:00PM","@MIL Wed 9:30PM","","","CHA Sat 7:30PM",""
"Millsap, Paul","DEN","PF,F,C,Flx","50","argold","68.29","94%","+94.5%","","SAC Tue 9:00PM","","@LAL Thu 10:30PM","","",""
"Gordon, Eric","HOU","SG,G,Flx","51","GFv","68.27","94%","+94%","","","UTA Wed 8:00PM","","LAC Fri 8:00PM","",""
"Bazemore, Kent","ATL","SG,G,SF,F,Flx","52","turgi","68.11","88%","+87.6%","","","DAL Wed 7:00PM","","","CHI Sat 7:30PM",""
"Horford, Al","BOS","PF,F,C,Flx","53","Pumba","67.68","98%","+97.7%","ORL Mon 7:30PM","","","@OKC Thu 8:00PM","","@DET Sat 7:00PM",""
"Whiteside, Hassan","MIA","C,Flx","54","GFv","67.05","99%","+98.6%","","","NY Wed 7:30PM","","","POR Sat 8:00PM",""
"Gobert, Rudy","UTA","C,Flx","55","Giladsh","66.99","100%","+99.6%","MEM Mon 9:00PM","","@HOU Wed 8:00PM","","","@NO Sat 7:00PM","@DAL Sun 7:00PM"
"Beal, Bradley","WAS","SG,G,Flx","56","Gabi_p","66.96","97%","+97.4%","@POR Mon 10:00PM","","@GS Wed 10:30PM","","@SAC Fri 10:00PM","","@LAC Sun 9:30PM"
