"Player","Team","Position","Rk","Status","Opponent","Score","% Owned","+/-","GP","MIN","FGM","FGA","FG%","FTM","FTA","FT%","3PTM","REB","AST","ST","BLK","TO","PTS"
"Harden, James","HOU","PG,SG,G,Flx","1","ynwa","","100","100%","+99.9%","3","37.4","9.0","20.0",".450","6.3","8.3",".760","4.0","6.7","9.7","2.3","0.7","4.3","28.3"
"Jokic, Nikola","DEN","PF,F,C,Flx","2","Gabi_p","","99.83","100%","+100%","3","32.2","8.0","12.7",".632","9.0","11.0",".818","1.3","10.3","7.3","1.7","0.7","1.3","26.3"
"Embiid, Joel","PHI","PF,F,C,Flx","3","MCB","","91","100%","+99.9%","3","34.5","10.3","20.3",".508","6.3","7.7",".826","1.3","10.7","2.7","0.7","2.0","2.3","28.3"
"Davis, Anthony","NO","PF,F,C,Flx","4","TheMacca","","89.06","100%","+99.9%","2","32.9","10.5","16.5",".636","7.0","9.5",".737","0.5","13.0","7.0","2.5","2.5","2.5","28.5"
"Durant, Kevin","GS","SF,PF,F,Flx","5","Giladsh","PHO Mon 10:30PM","88.86","100%","+99.9%","3","38.7","10.0","21.7",".462","8.0","8.7",".923","0.3","9.3","6.7","1.0","1.0","3.0","28.3"
"Curry, Stephen","GS","PG,SG,G,Flx","6","argold","PHO Mon 10:30PM","88.4","100%","+99.6%","3","37.7","11.3","22.3",".507","3.0","3.3",".900","5.3","5.3","7.7","1.0","0.0","3.0","31.0"
"Hardaway Jr., Tim","NY","SG,G,SF,F,Flx","7","Gabi_p","@MIL Mon 8:00PM","87.69","98%","+98.4%","3","34.2","9.3","22.7",".412","5.7","6.0",".944","3.7","3.7","2.7","2.0","0.0","1.7","28.0"
"George, Paul","OKC","SG,G,SF,F,Flx","8","MCB","","86.83","100%","+99.7%","3","36.0","8.7","22.7",".382","4.7","5.7",".824","3.3","5.3","3.7","3.0","0.0","4.0","25.3"
"Lowry, Kyle","TOR","PG,G,Flx","9","Gabi_p","CHA Mon 7:30PM","86.26","99%","+98.6%","3","34.9","8.3","13.7",".610","2.7","3.7",".727","4.0","3.3","8.7","0.7","0.7","2.3","23.3"
"Walker, Kemba","CHA","PG,G,Flx","10","TAP","@TOR Mon 7:30PM","86.02","100%","+99.9%","3","35.1","12.3","25.3",".487","4.3","5.7",".765","6.3","3.0","5.3","1.0","0.0","2.7","35.3"
"Vucevic, Nikola","ORL","PF,F,C,Flx","11","ynwa","@BOS Mon 7:30PM","84.16","100%","+99.9%","3","29.4","6.7","12.7",".526","2.3","2.7",".875","1.3","9.7","6.7","1.0","1.3","2.7","17.0"
"Butler, Jimmy","MIN","SG,G,SF,F,Flx","12","argold","IND Mon 8:00PM","82.65","100%","+99.9%","2","33.8","9.5","17.5",".543","8.0","8.5",".941","1.0","7.0","3.0","4.0","1.5","1.5","28.0"
"Kanter, Enes","NY","C,Flx","13","turgi","@MIL Mon 8:00PM","82.61","99%","+99.1%","3","31.2","8.3","14.0",".595","3.7","4.0",".917","0.3","12.0","2.3","1.3","0.3","1.3","20.7"
"Young, Trae","ATL","PG,G,Flx","14","ynwa","","81.87","99%","+98.6%","3","34.6","8.3","18.3",".455","2.7","3.3",".800","3.7","3.3","8.3","0.7","0.3","2.7","23.0"
"Love, Kevin","CLE","PF,F,C,Flx","15","ynwa","","81.67","100%","+99.8%","3","35.7","5.7","18.7",".304","7.7","9.3",".821","1.7","14.3","4.0","0.3","0.3","3.0","20.7"
"Griffin, Blake","DET","PF,F,C,Flx","16","turgi","","80.26","99%","+98.6%","2","34.4","10.0","20.0",".500","6.5","8.5",".765","3.0","10.0","5.5","0.0","0.5","0.5","29.5"
"Towns, Karl-Anthony","MIN","C,Flx","17","ZAYN","IND Mon 8:00PM","79.49","100%","+100%","3","30.2","5.0","10.7",".469","4.7","5.0",".933","2.3","7.7","2.3","0.3","1.7","2.3","17.0"
"Harris, Gary","DEN","SG,G,SF,F,Flx","18","BNEI","","79.48","96%","+95.8%","3","34.8","8.0","17.0",".471","5.0","6.3",".789","1.0","3.3","2.3","1.3","0.7","0.3","22.0"
"Harris, Tobias","LAC","SF,PF,F,Flx","19","argold","","79.11","100%","+100%","3","37.5","8.3","16.7",".500","4.0","5.7",".706","2.0","8.0","2.0","0.3","1.3","2.3","22.7"
